Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
Appalachian Bugbane,Actaea podocarpa,,Flowering Perennial,Near-Native,No,Foliage and berries,Medium,Part Shade–Shade,Mesic,Woodland perennial related to baneberry and cohosh,https://inaturalist-open-data.s3.amazonaws.com/photos/23961747/medium.jpeg,,Understory fill,N,Medium,Shade tolerant woodland perennial; late spring bloom,,,,,,,No,No,Yes,No,Herbaceous,5,,low,low,low,mild,mild,mild,unknown,marginal,marginal,August,September,Black berries (toxic); clean pulp,15,Divide in early spring; slow to establish,no,Toxic,no,,white,Spring–Summer,3,7,white,#FFFFFF,Actaea podocarpa
Black Cohosh,Actaea racemosa,,Flowering Perennial,Native,No,Summer flowers; seedheads late season,Structural,Part Sun–Shade,Mesic,Tall woodland perennial for rich shade; slow to establish but long-lived,https://inaturalist-open-data.s3.amazonaws.com/photos/93111/medium.jpg,,Anchor,N,Medium,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,5 - Best Fit,3 - OK,2 - Marginal,Yes,No,Yes,No,Herbaceous,6,,low,medium,low,mild,mild,mild,tolerant,marginal,marginal,September,October,Black berries; clean pulp before storing,15,Divide in early spring; slow to establish from division,no,,with caveats,Medicinal use only; used for menopausal symptoms; consult professional,white,Midsummer,6,7,white,#FFFFFF,Actaea racemosa
Southern Bugbane,Actaea rubifolia,,Flowering Perennial,Near-Native,No,Foliage and berries,Medium,Part Shade–Shade,Mesic,Rare southeastern woodland perennial,https://inaturalist-open-data.s3.amazonaws.com/photos/68030261/medium.jpg,,Understory fill,N,Medium,Southern woodland baneberry species; similar habit to black cohosh group,,,,,,,No,No,Yes,No,Herbaceous,3,purple | burgundy,low,low,low,mild,mild,mild,unknown,marginal,marginal,August,September,Black berries (toxic); clean pulp,15,Divide in early spring; slow to establish,no,Toxic,no,,white,Spring–Summer,3,7,white,#FFFFFF,Actaea rubifolia
Red Baneberry,Actaea rubra,,Foliage Perennial,Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic–Moist,Woodland with striking berry,https://inaturalist-open-data.s3.amazonaws.com/photos/247810008/medium.jpeg,,Anchor,N,Small,2 - Marginal,1 - Don't Use,3 - OK,3 - OK,4 - Strong,4 - Strong,2 - Marginal,Yes,No,Yes,No,Herbaceous,2,,low,low,low,yes,yes,yes,unknown,marginal,marginal,August,September,Red berries (toxic); clean pulp before storing,15,Divide in early spring; slow — give it time,no,Berries toxic raw,no,,white,Early Summer,5,6,white,#FFFFFF,Actaea rubra
Northern Maidenhair Fern,Adiantum pedatum,,Fern,Native,No,Summer,Mid,Part Sun–Shade,Mesic,"Unconfirmed root-sensitive, good woodland groundcover",https://static.inaturalist.org/photos/130175468/medium.jpeg,,Anchor,N,Small,2 - Marginal,1 - Don't Use,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,Yes,No,Yes,No,Herbaceous,1.5,,medium,medium,low,no,no,no,unknown,marginal,avoid,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; keep consistently moist,no,,no,,,N/A,,,,,Adiantum pedatum
Bottlebrush Buckeye,Aesculus parviflora,,Shrub – Large,Near-Native,No,Showy flowers,Tall,Part Shade,Mesic,Large colony-forming shrub with showy bottlebrush flowers,https://inaturalist-open-data.s3.amazonaws.com/photos/19700508/medium.jpg,,Wildlife shrub,N,Large,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,4 - Strong,2 - Marginal,No,No,Yes,No,Shrub,5,,low,low,low,yes,yes,yes,unknown,marginal,marginal,September,October,Large spiny capsules; cold stratify,40,Divide suckers in early spring or fall; spreads by root suckers,no,Toxic seeds,no,,white,Summer,6,8,white,#FFFFFF,Aesculus parviflora
Red buckeye,Aesculus pavia,,Tree - Small,Native,N,Red flowers,Small Tree,Part Shade,Mesic,Hummingbird plant,https://inaturalist-open-data.s3.amazonaws.com/photos/352510526/medium.jpg,,Understory accent,N,Small to Medium,4 - Strong,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,3 - OK,2 - Marginal,No,No,Yes,No,Tree,15,,low,low,low,yes,yes,yes,unknown,marginal,marginal,September,October,Large spiny capsules; cold stratify,40,Division not practical; best from seed; slow,no,Toxic seeds,no,,red,Spring,3,5,red,#C0392B,Aesculus pavia
White Snakeroot,Ageratina altissima,,Flowering Perennial,Native,No,Summer / Fall,Tall,Part Sun–Shade,Mesic,Late nectar,https://inaturalist-open-data.s3.amazonaws.com/photos/162191139/medium.jpg,,Matrix,Y,Large,3 - OK,1 - Don't Use,3 - OK,3 - OK,3 - OK,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,yes,yes,yes,unknown,marginal,marginal,September,October,Fluffy achenes; collect before dispersal,30,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. May not come true; best from cuttings.",no,Toxic — white snakeroot,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Ageratina altissima
Ticklegrass,Agrostis perennans,,Grass,Native,No,Fine seedheads,Medium,Sun–Part Shade,Mesic,Airy native grass with light texture; useful in open shade,https://inaturalist-open-data.s3.amazonaws.com/photos/7461195/medium.jpeg,,Understory fill,N,Medium,3 - OK,2 - Marginal,4 - Strong,3 - OK,4 - Strong,3 - OK,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,marginal,marginal,August,September,Small grains; shake into bag,10,Divide clumps in early spring or fall,no,,no,,,Summer,6,8,,,Agrostis perennans
Lady's Mantle,Alchemilla mollis,,Flowering Perennial,Safe Non-Native,No,Spring / Summer,Mid,Part Sun–Shade,Mesic,"soft foliage, good front edge filler",https://static.inaturalist.org/photos/18954987/medium.jpg,,,,,3 - OK,3 - OK,5 - Best Fit,4 - Strong,4 - Strong,2 - Marginal,3 - OK,No,No,No,No,Herbaceous,1.5,lime green,low,low,low,no,no,no,unknown,marginal,marginal,June,July,Tiny nutlets under fluffy bracts,0,Divide in early spring or fall; spreads to form low mat,no,,with caveats,Ornamental herb; traditional use in herbal medicine,yellow-green,Late Spring,4,5,yellow-green,#CDDC39,Alchemilla mollis
Canada Nodding Onion,Allium cernuum,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun–Part Sun,Dry–Mesic,"Edible, nodding umbels",https://static.inaturalist.org/photos/218716747/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,yes,yes,mild,unknown,avoid,avoid,August,September,Collect seed heads when papery and dry,10,"Live staking works well — cut pencil-thick stems in late winter, push 2/3 into moist soil before leaves emerge. Also divide suckers in early spring.",yes,Edible leaves and bulbs; use like chives or onion,no,,pink | white,Mid/Late Summer,6,9,pink | white,#E8829A,Allium cernuum
Speckled alder,Alnus incana,,Tree - Small,Native,N,Catkins; nitrogen fixer,Small Tree,Full Sun to Part Shade,Moist to Wet,Riparian species,https://inaturalist-open-data.s3.amazonaws.com/photos/542369958/medium.jpg,,Soil improvement,Y,Medium,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,1 - Don't Use,Yes,Yes,Yes,Yes,Tree,20,,high,high,medium,no,no,no,tolerant,avoid,avoid,September,October,Small woody cones; shake seeds out,240,Division not practical; best from softwood cuttings in summer,no,,no,,yellow | cream,Spring,3,5,yellow | cream,#F9C820,Alnus incana
Serviceberry (Hybrid),Amelanchier × grandiflora,,Tree - Small,Native/Non-Native Hybrid,No,Spring Flowers,Structural,Full Sun–Part Sun,Mesic,Fast-growing; great fruit and fall color,https://inaturalist-open-data.s3.amazonaws.com/photos/6872034/medium.jpg,,,,,4 - Strong,2 - Marginal,4 - Strong,3 - OK,4 - Strong,2 - Marginal,4 - Strong,No,No,No,No,Tree,6,,high,medium,medium,no,no,no,tolerant,marginal,marginal,June,July,Purple berries; collect when ripe,120,May not come true; best from cuttings,yes,Edible fruit,no,,white,Spring,3,5,white,#FFFFFF,Amelanchier × grandiflora
Serviceberry (Eastern),Amelanchier canadensis,,Tree - Small,Native,No,Spring,Structural,Full Sun–Part Sun,Mesic,Early bloom + edible fruit,https://inaturalist-open-data.s3.amazonaws.com/photos/13176633/medium.jpg,,Woody,N,Medium,4 - Strong,2 - Marginal,4 - Strong,4 - Strong,5 - Best Fit,4 - Strong,4 - Strong,Yes,Yes,Yes,Yes,Tree,20,,high,medium,medium,no,no,no,tolerant,marginal,marginal,June,July,Purple berries; collect when ripe; very tasty so act fast,120,Divide suckers in early spring; spreads by root suckers,yes,Edible berries,no,,white,Early Spring,2,3,white,#FFFFFF,Amelanchier canadensis
Serviceberry (Smooth/Allegheny),Amelanchier laevis,,Tree - Small,Native,No,Spring,Structural,Full Sun–Part Sun,Mesic,"Similar to A. canadensis, smoother leaves",https://inaturalist-open-data.s3.amazonaws.com/photos/40513174/medium.jpg,,Woody,N,Medium,4 - Strong,2 - Marginal,4 - Strong,4 - Strong,5 - Best Fit,4 - Strong,4 - Strong,Yes,No,Yes,No,Tree,25,,high,medium,medium,no,no,no,tolerant,marginal,marginal,June,July,Purple berries; collect when ripe,120,Divide suckers in early spring; spreads by root suckers,yes,Edible berries,no,,white,Early Spring,2,3,white,#FFFFFF,Amelanchier laevis
Serviceberry ‘Jennybelle’,Amelanchier obovalis 'Jennybelle',,Shrub,Native cultivar,No,Flowers + edible fruit + fall color,Medium,Full Sun–Part Shade,Mesic,"Selected for larger, more palatable fruit; good for human harvest",,,Wildlife shrub,N,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Shrub,15,green,low,low,low,no,no,no,tolerant,tolerant,marginal,June,July,Larger berries than wild-type; good fresh eating,120,Best propagated by cuttings or grafting,yes,Selected for fruit quality; edible berries,no,,white,Spring,3,5,white,#FFFFFF,Amelanchier obovalis 'Jennybelle'
Low Serviceberry,Amelanchier spicata,,Tree - Small,Native,No,Fall color,Medium,Sun–Part Shade,Dry–Mesic,Small multi-stem tree or shrub producing wildlife fruit,https://inaturalist-open-data.s3.amazonaws.com/photos/7928411/medium.jpg,,Midstory structure,N,Medium,Small multi-stem tree/shrub,,,,,,,Yes,Yes,Yes,Yes,Tree,3,,high,medium,medium,no,no,no,tolerant,marginal,marginal,June,July,Purple berries; collect when ripe,120,Divide suckers in early spring; spreads by root suckers,yes,Edible berries,no,,white,Spring,3,5,white,#FFFFFF,Amelanchier spicata
American Beach Grass / Dune Grass,Ammophila breviligulata,,Grass,Native,Yes,N/A,Structural,Full Sun,Dry,"Dune stabilizer, wide-spreading",https://inaturalist-open-data.s3.amazonaws.com/photos/253559683/medium.jpeg,,Matrix,M,Medium,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,No,Yes,No,Yes,Herbaceous,3,,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Small spikelets; shake over bag,10,Divide in early spring; spreads by rhizome in sandy soils,no,,no,,,Early Summer,5,6,,,Ammophila breviligulata
False indigo (Amorpha fruticosa),Amorpha fruticosa,,Shrub – Large,Near-Native,N,Pollinator flowers,Shrub,Full Sun,Moist to Wet,"Nitrogen fixer. This plant is very useful for soil stabilization and rebuilding, great for planting in permaculture-style garden beds. However it is classified as invasive in CT where it disrupting river plant systems, despite being native further south. Not recommended for conservation-style plantings, but use with caution in other contained spaces. ",https://inaturalist-open-data.s3.amazonaws.com/photos/359384233/medium.jpg,,Soil improvement,Y,Small to Medium,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,1 - Don't Use,1 - Don't Use,Yes,Yes,Yes,Yes,Shrub,10,,low,low,low,no,no,no,tolerant,avoid,avoid,September,October,Dry pods; shake seeds out,30,Divide suckers in early spring; spreads by root suckers,no,,no,,purple,Early Summer,5,6,purple,#7B4EA0,Amorpha fruticosa
Pearly Everlasting,Anaphalis margaritacea,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun,Dry,Papery white everlasting flowers dry beautifully. Host plant for the American painted lady butterfly. Spreads by rhizome in dry open sites. Excellent for dry banks and slopes.,https://inaturalist-open-data.s3.amazonaws.com/photos/54041809/medium.jpeg,,Matrix,M,Medium,4 - Strong,5 - Best Fit,4 - Strong,1 - Don't Use,3 - OK,2 - Marginal,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,silver,low,low,low,no,no,no,unknown,avoid,avoid,August,September,Fluffy achenes — collect before dispersal,10,Divide in early spring; spreads by rhizome,no,,no,,white | silver,Mid/Late Summer,6,9,white | silver,#FFFFFF,Anaphalis margaritacea
Bog Rosemary,Andromeda polifolia,,Shrub – Small,Native,Partly,Spring,Tall,Full Sun–Part Sun,Moist,Low evergreen bog specialist,https://inaturalist-open-data.s3.amazonaws.com/photos/204113206/medium.jpg,,Woody,N,Small,1 - Poor Fit,1 - Don't Use,2 - Marginal,5 - Best Fit,3 - OK,3 - OK,1 - Poor Fit,Yes,Yes,No,Yes,Shrub,2,blue-gray,low,low,low,yes,yes,yes,unknown,tolerant,avoid,September,October,Small dry capsules,20,Divide in early spring; spreads slowly by layering,no,Toxic,no,,pink | white,Late Spring,4,5,pink | white,#E8829A,Andromeda polifolia
Big Bluestem,Andropogon gerardii,,Grass,Native,No,`,Structural,Full Sun,Dry–Mesic,Tall prairie grass supports insects,https://inaturalist-open-data.s3.amazonaws.com/photos/49663357/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,Yes,No,Yes,Yes,Herbaceous,6,blue-gray,medium,low,low,no,no,no,tolerant,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,20,Divide clumps in early spring or fall; spreads vigorously,no,,no,,,Mid/Late Summer,6,9,,,Andropogon gerardii
Bushy Bluestem,Andropogon glomeratus,,Grass,Native,No,Fall seedheads,Tall,Sun,Moist,Wet meadow grass with strong late-season structure,https://inaturalist-open-data.s3.amazonaws.com/photos/178331997/medium.jpg,,Edge habitat,N,Large,Wet meadow structural grass,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,5,,low,low,low,no,no,no,unknown,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,20,Divide clumps in early spring or fall; spreads vigorously,no,,no,,,Late Summer,7,9,,,Andropogon glomeratus
Sharp-lobed Hepatica,Anemone acutiloba,,Foliage Perennial,Native,Partly,Early spring bloom; semi-evergreen foliage,Low,Part Sun–Shade,Mesic,"One of the earliest spring wildflowers. Delicate lavender to white flowers emerge before or alongside the new leaves. Prefers rich, slightly alkaline woodland soils. Semi-evergreen; old leaves persist through winter. Slow to establish but long-lived.",https://static.inaturalist.org/photos/186418921/medium.jpeg,,Ground,N,Small,1 - Don't Use,1 - Don't Use,3 - OK,3 - OK,4 - Strong,3 - OK,1 - Don't Use,Yes,Yes,No,Yes,Herbaceous,0.5,green,low,low,low,no,no,no,marginal,marginal,avoid,May,June,Small achenes with ant-dispersal (myrmecochory); collect just as achenes ripen; sow fresh immediately,5,Divide carefully in early fall; seed sown fresh without stratification; very slow from seed — mulch and be patient,no,,no,,lavender | white | pink,Early Spring,2,3,lavender | white | pink,#9B89C4,Anemone acutiloba
Canada Anemone,Anemone canadensis,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun–Part Sun,Mesic–Moist,Spreading white meadow carpet,https://inaturalist-open-data.s3.amazonaws.com/photos/162600164/medium.jpg,,Matrix,Y,Large,3 - OK,1 - Don't Use,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,3 - OK,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,mild,mild,mild,unknown,avoid,avoid,July,August,Fluffy achenes; collect before wind dispersal,10,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring; spreads by root suckers.",no,Mildly toxic,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Anemone canadensis
Tall anemone / Thimbleweed,Anemone virginiana,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun–Part Sun,Mesic,Windy seed heads,https://static.inaturalist.org/photos/146727896/medium.jpeg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Anemone_virginiana_var._virginiana_%281%29.jpg/960px-Anemone_virginiana_var._virginiana_%281%29.jpg?_=20170809121948,Anchor,N,Small,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,mild,mild,mild,unknown,marginal,marginal,August,September,Woolly seed heads; collect when fluffy,10,"Tip layering works — pin a low branch to moist soil in spring, sever the following year. Also divide suckers in early spring or fall; spreads by rhizome.",no,Mildly toxic,no,,white,Mid/Late Summer,6,9,white,#FFFFFF,Anemone virginiana
Japanese Anemone,Anemone x hybrida,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Structural,Full Sun–Part Sun,Mesic,"late season color, good at woodland edge",https://inaturalist-open-data.s3.amazonaws.com/photos/154706303/medium.jpg,,,,,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,No,No,No,No,Herbaceous,4,,low,low,low,mild,mild,mild,unknown,marginal,marginal,September,October,Fluffy achenes,10,Divide in early spring or fall,no,,no,,pink | white,Mid/Late Summer,6,9,pink | white,#E8829A,Anemone x hybrida
Indian Hemp / Dogbane,Apocynum cannabinum,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun,Dry–Mesic,Milkweed relative — important for monarch butterflies and other pollinators. Fibrous stems used for cordage by Native Americans. Spreads aggressively by rhizome. Use where spread is welcome.,https://static.inaturalist.org/photos/106225/medium.jpg,,Matrix,Y,Medium,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,yes,yes,yes,unknown,avoid,avoid,August,September,Long narrow pods with silky-haired seeds; collect before pods split,20,Divide in early spring; spreads aggressively by rhizome,no,Toxic latex,no,,white | pink,Early Summer,5,6,white | pink,#FFFFFF,Apocynum cannabinum
Wild Columbine,Aquilegia canadensis,,Flowering Perennial,Native,No,Hummingbird flowers,Medium,Sun–Part Shade,Dry–Mesic,Early hummingbird plant that tolerates light shade,https://inaturalist-open-data.s3.amazonaws.com/photos/503013812/medium.jpeg,,Understory fill,N,Medium,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,3 - OK,2 - Marginal,4 - Strong,Yes,Yes,Yes,Yes,Herbaceous,3,blue-gray,low,low,low,mild,mild,mild,unknown,marginal,marginal,June,July,Dry follicles; shake seeds out,10,Divide in early spring or fall; easy from offsets,no,Mild toxicity,no,,red | yellow,Spring,3,5,red | yellow,#C0392B,Aquilegia canadensis
Wild Sarsaparilla,Aralia nudicaulis,,Foliage Perennial,Native,No,Spring / Fall,Mid,Part Sun–Shade,Mesic,Sweet maple-rooted woodland herb,https://inaturalist-open-data.s3.amazonaws.com/photos/9826797/medium.jpg,,Ground,M,Medium,2 - Marginal,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,1.5,,medium,medium,low,no,no,no,unknown,tolerant,marginal,August,September,Dark purple berries; clean pulp; cold stratify,15,Divide in early spring as shoots emerge; spreads by rhizome,with caveats,Young shoots edible in spring,no,,white,Early Spring,2,3,white,#FFFFFF,Aralia nudicaulis
